No;Code;Company Name;Listing Date;Shares;Listing Board
269;KOPI;Mitra Energi Persada Tbk.;04 May 2015;697,266,668;Development
270;KPIG;MNC Land Tbk.;30 Mar 2000;97,557,129,263;Development
271;KRAH;Grand Kartech Tbk.;08 Nov 2013;971,190,000;Watchlist
272;KRAS;Krakatau Steel (Persero) Tbk.;10 Nov 2010;19,346,396,900;Development
273;KREN;Quantum Clovera Investama Tbk.;28 Jun 2002;18,208,470,100;Watchlist
274;LAPD;Leyand International Tbk.;17 Jul 2001;3,966,350,139;Watchlist
275;LCGP;Eureka Prima Jakarta Tbk.;13 Jul 2007;5,630,000,914;Watchlist
276;LEAD;Logindo Samudramakmur Tbk.;11 Dec 2013;5,799,616,328;Development
277;LINK;Link Net Tbk.;02 Jun 2014;2,863,195,484;Watchlist
278;LION;Lion Metal Works Tbk.;20 Agt 1993;520,160,000;Main
279;LMAS;Limas Indonesia Makmur Tbk;28 Dec 2001;787,851,525;Watchlist
280;LMPI;Langgeng Makmur Industri Tbk.;17 Oct 1994;1,008,517,669;Development
281;LMSH;Lionmesh Prima Tbk.;04 Jun 1990;96,000,000;Watchlist
282;LPCK;Lippo Cikarang Tbk;24 Jul 1997;2,679,600,000;Main
283;LPGI;Lippo General Insurance Tbk.;22 Jul 1997;3,000,000,000;Watchlist
284;LPIN;Multi Prima Sejahtera Tbk;05 Feb 1990;425,000,000;Development
285;LPKR;Lippo Karawaci Tbk.;28 Jun 1996;70,898,018,369;Main
286;LPLI;Star Pacific Tbk;23 Oct 1989;1,170,432,803;Development
287;LPPF;Matahari Department Store Tbk.;09 Oct 1989;2,259,292,880;Main
288;LPPS;Lenox Pasifik Investama Tbk.;28 Mar 1994;2,588,250,000;Development
289;LRNA;Eka Sari Lorena Transport Tbk.;15 Apr 2014;350,000,022;Development
290;LSIP;PP London Sumatra Indonesia Tb;05 Jul 1996;6,819,963,965;Main
291;LTLS;Lautan Luas Tbk.;21 Jul 1997;1,560,000,000;Main
292;MAGP;Multi Agro Gemilang Plantation;16 Jan 2013;9,000,000,004;Watchlist
293;MAIN;Malindo Feedmill Tbk.;10 Feb 2006;2,238,750,000;Main
294;MAMI;Mas Murni Indonesia Tbk;09 Feb 1994;12,299,317,590;Watchlist
295;MAPI;Mitra Adiperkasa Tbk.;10 Nov 2004;16,600,000,000;Main
296;MASA;Multistrada Arah Sarana Tbk.;09 Jun 2005;9,182,946,945;Development
297;MAYA;Bank Mayapada Internasional Tb;29 Agt 1997;25,906,179,152;Main
298;MBAP;Mitrabara Adiperdana Tbk.;10 Jul 2014;1,227,271,952;Development
299;MBSS;Mitrabahtera Segara Sejati Tbk;06 Apr 2011;1,750,026,639;Main
300;MBTO;Martina Berto Tbk.;13 Jan 2011;1,070,000,000;Development
301;MCOR;Bank China Construction Bank I;03 Jul 2007;37,540,533,209;Main
302;MDIA;Intermedia Capital Tbk.;11 Apr 2014;39,215,538,400;Watchlist
303;MDKA;Merdeka Copper Gold Tbk.;19 Jun 2015;24,472,983,771;Main
304;MDLN;Modernland Realty Tbk.;18 Jan 1993;12,533,067,322;Main
305;MDRN;Modern Internasional Tbk.;16 Jul 1991;7,632,167,798;Watchlist
306;MEDC;Medco Energi Internasional Tbk;12 Oct 1994;25,136,231,252;Main
307;MEGA;Bank Mega Tbk.;17 Apr 2000;11,623,514,905;Main
308;MERK;Merck Tbk.;23 Jul 1981;448,000,000;Development
309;META;Nusantara Infrastructure Tbk.;18 Jul 2001;17,710,708,194;Watchlist
310;MFIN;Mandala Multifinance Tbk.;06 Sep 2005;2,676,887,872;Main
311;MFMI;Multifiling Mitra Indonesia Tb;29 Dec 2010;757,581,000;Watchlist
312;MGNA;Magna Investama Mandiri Tbk.;08 Jul 2014;3,410,477,164;Watchlist
313;MICE;Multi Indocitra Tbk.;21 Dec 2005;600,000,000;Development
314;MIDI;Midi Utama Indonesia Tbk.;30 Nov 2010;33,435,294,800;Development
315;MIKA;Mitra Keluarga Karyasehat Tbk.;24 Mar 2015;13,907,481,500;Main
316;MIRA;Mitra International Resources ;30 Jan 1997;3,961,452,039;Watchlist
317;MITI;Mitra Investindo Tbk.;16 Jul 1997;3,540,735,503;Development
318;MKPI;Metropolitan Kentjana Tbk.;10 Jul 2009;948,194,000;Development
319;MLBI;Multi Bintang Indonesia Tbk.;15 Dec 1981;2,107,000,000;Main
320;MLIA;Mulia Industrindo Tbk;17 Jan 1994;6,615,000,000;Main
321;MLPL;Multipolar Tbk.;06 Nov 1989;15,682,323,987;Main
322;MLPT;Multipolar Technology Tbk.;08 Jul 2013;1,875,000,000;Watchlist
323;MMLP;Mega Manunggal Property Tbk.;12 Jun 2015;6,889,134,608;Main
324;MNCN;Media Nusantara Citra Tbk.;22 Jun 2007;15,049,787,710;Main
